COUNTY,STATE,ZHVI_2020,ZHVI_2021,ZHVI_2023,WFIR_AFREQ_2020,WFIR_EXPT_2020,WFIR_RISKS_2020,WFIR_AFREQ_2021,WFIR_EXPT_2021,WFIR_RISKS_2021,WFIR_AFREQ_2023,WFIR_EXPT_2023,WFIR_RISKS_2023
Baltimore County,MD,270431.9632692316,300191.6747381002,331097.85322446644,9.869436365e-06,0.0,0.0,9.869436365e-06,0.0,0.0,9.999999747e-06,383157085307.2443,41.07540566337894
Ventura County,CA,631422.6489624075,724302.627150175,811890.1207646638,0.014426275895776,402516243778.9157,40.35676934399316,0.014426275895776,414186933345.3051,40.34669506877169,0.012799452865879,457442461325.3306,99.80909958638244
Hamilton County,OH,176318.9888431389,203335.50941760567,235452.6167508813,1.0192699103e-05,6499583360.137964,1.914205353495876,1.0192699103e-05,6672470426.2770605,1.879637718957223,1.4923583652e-05,1587012726322.6887,64.17435571110404
Snohomish County,WA,497363.73521122825,602073.6921714273,682143.5046100098,0.000584049225446,16712123354.674091,2.350599309933183,0.000584049225446,17163472380.704622,2.354623307323935,1.8746934217e-05,1403474956077.4016,63.12440343620744
Multnomah County,OR,420847.7499383067,480230.2859940837,488824.99188643816,0.000296188498109,13326690060.6338,3.953465976180597,0.000296188498109,13683184002.96844,3.953512214993433,9.8009778143e-05,183389903552.74167,56.82468978682788
Fort Bend County,TX,270720.86326549907,308404.02023356024,376415.3188527837,0.000609886932374,72373265074.35027,4.857309593658188,0.000609886932374,74307466902.3515,4.755334744338962,0.000780326578825,614794582438.9142,88.03690741329939
Essex County,MA,480204.7167050661,549912.6467133028,619898.8329410501,4.9155289946e-05,87571852880.04573,7.672600806313802,4.9155289946e-05,89897832034.24763,7.551308898888533,6.8663913917e-05,334005872055.76355,64.93795736557429
Suffolk County,MA,613602.4667526487,655697.7688904541,679586.986424682,2.528169894e-06,2527022137.179557,2.858568783960632,2.528169894e-06,2593832587.545537,2.905004357617635,1.8577381654e-05,42655455383.9282,13.394845688832326
Oklahoma County,OK,151408.24258792168,169642.83520926806,204885.0274200937,0.00088476954709,74032450341.48672,15.169820350261428,0.00088476954709,76007392999.22534,14.9891882891246,0.000631838141975,616844304615.3015,84.91886732421251
Jefferson County,KY,183949.9285810464,203322.1568657523,228758.06865856217,1.8377393994e-05,458951016.09785527,0.924792052524309,1.8377393994e-05,471122098.83616704,0.909517069938753,1.0027978658e-05,2752226114152.792,69.10594972955775
